feature,coef_scaled,coef_real
turismo_indice,105.05048595379765,6444.787070267605
lluvia_indice,-276.0741909094226,-29803.86745641148
temperatura_media_c,-146.95435026426105,-29219.28818615842
fin_de_semana,-167.82054118618453,-451369.16052040545
payday_flag,132.90036267387353,337256.58520412544
ads_video_online,24.828763446704254,7.393105645174796
ads_display,787.6461760599412,548.9913158754493
ads_email_crm,-97.40692983078664,-163.06874821614872
ads_prensa,-200.3642835705438,-155.2161013144569
ads_exterior,-234.39132307199904,-89.11605813250729
ads_radio_local,257.3509723669615,129.04692650838822
ads_social_paid,-181.8142697718178,-75.54243829102894
ads_paid_search,-554.5830020910184,-195.91102159985803
sesiones_web,116.46141108890396,325.7959663726329
conv_web_pct,-92.0215105583456,-11595282.550665354
visitas_tienda,120.59423988725206,2086.0275579993395
pedidos_online,-53.140161269661434,-5278.835573748256
